pulp_to_mixing_tank23,flow_after_machine_chest21,level_condensate_bucket1_valve_position,steam_group3_pressure,steam_group4under_pressure,pressure_yankee_cylinder,steam_group5under_pressure,steam_pressure5_over,pressure_condensate_bucket5,production_paper_machine2,dry_production_vira,steamflow
166.54,2738.9,31.749,206.43,221.75,222.31,221.81,221.82,55.875,11.192,158.12,18.336
168.27,2768.2,36.594,204.62,218.86,219.04,218.93,219.1,54.126,10.973,158.12,18.066
168.26,2756.5,35.205,207.59,223.56,223.2,223.37,223.74,59.875,11.03,158.35,18.45
166.02,2749.9,34.469,205.6,220.57,220.53,220.15,220.18,55.625,11,159.87,18.331
166.23,2730.5,33.586,223.25,238.79,237.97,237.99,237.86,79.878,10.963,161.7,19.396
168.7,2769.7,33.568,211.5,225.95,226.38,226,226.33,64.375,11.027,162.73,19.065
168.7,2769.6,41.616,219.28,234.97,235.13,234.8,234.65,73.41,10.974,161.96,19.552
167.72,2772.2,40.68,236.7,251.96,252.33,252.16,252.44,87,11.004,161.61,19.142
167.63,2749.1,40.68,239.83,255.26,255.18,255,254.52,89.75,11.01,160.17,19.109
166.39,2755.4,40.353,239.36,254.14,255.01,254.38,254.47,89.075,10.985,160.65,18.723
167.22,2770.3,42.263,244.82,259.89,260.51,259.96,259.87,95.875,11.102,159.98,19.266
167.3,2764.4,45.184,245.5,261.63,262.01,261.19,261.76,96.5,11.019,158.54,19.177
157.66,2606.5,32.422,204.42,219.61,219.17,219.63,218.84,56.971,10.544,147.26,17.501
154.76,2550.6,28.644,197.14,212,211.09,211.81,212.05,41.75,10.371,144.14,17.107
154.53,2544.2,35.77,211.88,226.49,226.86,226.21,226.65,53.496,10.347,144.64,17.312
155.16,2542.2,33.651,209.77,225.92,225.17,225.59,225.81,52,10.357,145.35,17.567
154.67,2542.5,39.403,207.17,222.49,222.57,221.94,222.39,50.93,10.331,145.33,17.567
153.73,2537.2,35.009,213.48,228.57,228.65,228.21,228.65,56.125,10.389,146.56,17.599
153.65,2528.9,35.009,204.69,220.38,220.46,220.43,220.26,47.125,10.359,147.21,17.826
155.27,2549.3,35.431,208.12,223.57,223.98,223.65,223.1,51.375,10.359,148.14,17.786
155.82,2559.1,34.143,203.62,218.66,218.57,219.01,219.03,45.875,10.359,146.78,17.498
156.91,2558.5,33.964,203.18,218,219.14,218.28,218.17,45.875,10.355,147.27,17.27
156.48,2561.6,33.964,212.96,227.81,228.35,227.39,227.57,54,10.363,147.47,17.321
157,2560.6,33.511,210.52,225.11,225.23,225.68,225.31,51.597,10.364,148.57,17.81
156.37,2560.6,37.903,218.39,233.3,232.86,233.57,233.74,60.502,10.364,149.41,17.81
155.74,2559.9,35.085,219.16,234.32,233.87,234.31,234.1,63,10.364,147.69,17.726
155.19,2559.9,41.287,219.16,234.13,233.51,233.79,233.43,55.375,10.367,146.58,17.398
154.73,2561.1,33.903,219.6,234.13,233.51,233.79,233.43,61.457,10.378,145.13,17.476
154.41,2545.3,37.153,218.97,233.8,234.6,233.55,234.24,59.935,10.351,144.96,17.476
154.62,2530.2,43.125,217.49,232.01,232.29,232.8,233.06,59.25,10.401,143.29,17.506
153.1,2512.5,40.423,220.27,232.06,235.3,235.36,235.67,59.25,10.253,143.44,17.506
153.82,2519.5,32.695,216.72,232.06,231.43,231.49,231.28,62.821,10.301,143.37,17.504
154.63,2530.7,42.3,221.88,237.71,236.64,237.16,237.52,63.2,10.333,141.93,17.727
154.64,2543.4,38.888,222.41,238.65,238.16,238.5,237.52,65.571,10.361,141.88,17.651
155.28,2548.1,37.818,222.59,237.87,237.09,237.6,237.43,65,10.361,140.96,17.521
154.8,2557.9,35.757,226.44,241.16,241.76,240.96,241.09,68.618,10.363,141.32,17.884
155.59,2556.1,39.144,225.28,240.06,240.98,240.36,240.09,66.75,10.368,141.57,17.63
156.59,2567.6,33.424,227.4,242.08,241.92,242.47,242,69.796,10.347,144.93,18.128
155.41,2564.4,29.355,226.61,242.32,241.79,242.04,241.92,68.25,10.352,146.44,17.917
154.15,2541.5,37.662,226.61,242.32,237.04,242.04,241.92,64.446,10.361,143.42,17.69
154.39,2540.5,35.342,226.95,242.8,242.84,242.59,242.41,70.25,10.318,142.87,17.745
154.6,2540.8,39.504,228.51,242.8,242.84,244.27,242.61,70.25,10.331,141.88,17.745
155.62,2545.8,39.504,227.56,242.64,242.78,242.18,242.61,69.75,10.415,143.35,17.655
154.99,2546.2,39.334,224.08,239.94,239.55,239.83,239.63,66.5,10.349,145.51,17.849
